################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         30   0.0000000000000000E+00   2.6421251069473478E-01   2.7083411344304371E-02   3.8386188436009494E-02
         1         31   2.3085880936346753E-02   1.2286886791530998E+00   7.2080261262748169E-01   1.6285156530621084E-01
         1         32   0.0000000000000000E+00   9.9967170323385413E-01   1.2635273637490679E-01   2.5090670661334391E-01
         1         33   5.9290719886773043E-03   6.9825549901781159E-01   3.8089871878676768E-01   9.0221809805775752E-02
         1         34   0.0000000000000000E+00   2.0912551387316991E-01   1.9686744296099321E-02   2.6444947117753699E-02
         1         35   0.0000000000000000E+00   1.9109347619725656E-01   1.9947944397408861E-02   2.6665196370591827E-02
         1         36   1.5208182285164904E-02   6.8447891953753104E-01   3.9498056365388368E-01   9.2171858235065712E-02
         1         37   0.0000000000000000E+00   5.9568304064861943E-01   7.9442578495290239E-02   1.4894086218471592E-01
         1         38   6.1151395998202303E-03   3.5095229728298516E-01   1.9516227935500066E-01   4.9161302990440615E-02
         1         39   0.0000000000000000E+00   1.0091451467579815E-01   9.4074664208892000E-03   1.2236741460387782E-02
         1         40   0.0000000000000000E+00   1.0613418331868386E-01   1.0718832940529568E-02   1.3582970936875939E-02
         1         41   3.7244021131589730E-03   2.5588965461945784E-01   1.5045323437203403E-01   3.6726875726672589E-02
         1         42   0.0000000000000000E+00   2.4563474221447432E-01   3.2659567245224827E-02   5.8381151326203896E-02
         1         43   5.5248563686154301E-04   1.4597230837702671E-01   7.3099947366584858E-02   1.9558341934783278E-02
         1         44   0.0000000000000000E+00   4.8324967386538985E-02   3.8825001588973741E-03   5.0094043326595304E-03
         1         45   0.0000000000000000E+00   3.6863622831612104E-02   4.0274651938254930E-03   5.0201806269739961E-03
         1         46   3.6933465581083307E-04   6.4569304841643235E-02   3.7213727186098909E-02   9.5116298353062380E-03
         1         47   0.0000000000000000E+00   5.5094330343398855E-02   8.3795002677272100E-03   1.4472979701883885E-02
         1         48   1.2377793832988839E-05   3.7267155750673173E-02   1.8408074968968329E-02   5.2436028293069608E-03
         1         49   0.0000000000000000E+00   1.0925414998555502E-02   1.0649708779584129E-03   1.3480207604620554E-03
         1         50   0.0000000000000000E+00   9.4141106491844838E-03   1.0004989037871303E-03   1.2599944363245732E-03
         1         51   5.0403086529937436E-06   8.8764311998078549E-02   2.0487967182723842E-02   8.3321654838791736E-03
         1         52   0.0000000000000000E+00   8.8725196561956779E-02   1.1257173401768624E-03   3.2459165003146202E-03
         1         53   3.9610805066650186E-03   1.4553713594700707E-01   3.8962773367273301E-02   1.3170148139331869E-02
         1         54   0.0000000000000000E+00   1.5748129610378556E-02   6.3922990108736635E-04   1.1715740969138169E-03
         1         55   0.0000000000000000E+00   2.0155238703515627E-02   1.0042944261344769E-03   2.1255789223184668E-03
         1         56   0.0000000000000000E+00   9.3520973156166934E-02   6.0113515027080127E-04   2.7210910877557108E-03
         1         57   0.0000000000000000E+00   1.2635594638592748E-01   1.4054955839661665E-03   4.2032947069324915E-03
         1         58   0.0000000000000000E+00   6.1768403850670488E-03   1.1714103119154874E-05   9.1644268273355793E-05
         1         59   0.0000000000000000E+00   3.8544802201662038E-03   2.0248895514535275E-05   1.4662418966809851E-04
         1         60   2.7094849887904781E-06   6.0795414037589202E-02   1.3278040164947122E-02   5.8311102693127531E-03
         1         61   0.0000000000000000E+00   1.9045236796837610E-02   5.7313051478953059E-04   1.1667136011144291E-03
         1         62   0.0000000000000000E+00   1.5873413221753414E-02   1.0192573165729254E-03   2.1654866505316631E-03
         1         63   0.0000000000000000E+00   9.3748490094576671E-04   6.2773288359444694E-06   3.2184510191299075E-05
         1         64   0.0000000000000000E+00   3.3427726999505393E-03   2.7310342142736297E-05   1.1360023405267754E-04
         1         65   0.0000000000000000E+00   9.7855714523577991E-04   2.5474701111576810E-06   2.1923041635403411E-05
         1         66   2.5984069338909828E-05   1.8871950417913344E-01   5.4076249934513869E-02   1.8861377019226067E-02
         1         67   0.0000000000000000E+00   1.7556446006774210E-01   1.9548347061170957E-03   5.3409435728558642E-03
         1         68   3.9030966751047211E-02   3.8140096136999080E-01   1.4486945432641044E-01   3.3378560586325177E-02
         1         69   0.0000000000000000E+00   2.4425028060405782E-02   1.3955715576307371E-03   2.2756328822034588E-03
         1         70   0.0000000000000000E+00   2.9876449595018544E-02   2.4631886649371581E-03   4.0464147638144916E-03
         1         71   0.0000000000000000E+00   2.9724892860504332E-01   5.2176864564470928E-03   1.5756453235148321E-02
         1         72   0.0000000000000000E+00   8.4902203478136914E-02   1.4527400368410546E-03   3.7113639895053766E-03
         1         73   0.0000000000000000E+00   4.7019921259870302E-03   1.9591493406560308E-05   1.2926237781146923E-04
         1         74   0.0000000000000000E+00   6.3385268178235378E-03   3.6201881277711561E-05   2.5105686894279217E-04
         1         75   4.3733665624526962E-05   8.0808489019256594E-02   1.2490339565912112E-02   4.5011663793963893E-03
         1         76   0.0000000000000000E+00   3.3073093505611460E-02   1.9758058147913665E-03   3.4866986685292566E-03
         1         77   0.0000000000000000E+00   7.1004083292066124E-03   6.8664293412374917E-04   1.0056352792569127E-03
         1         78   0.0000000000000000E+00   1.7989275844563640E-03   1.1262285872753783E-05   6.2161095025810615E-05
         1         79   0.0000000000000000E+00   5.6617149822840284E-03   6.8838474739833742E-05   2.6177442781992845E-04
         1         80   0.0000000000000000E+00   9.5539359093564028E-04   3.1263706146775622E-06   2.6343742548771340E-05
         1         81   1.4752586757836375E-07   1.9017485606569969E-02   3.8419275486704673E-03   1.9163741451177271E-03
         1         82   0.0000000000000000E+00   3.1950299951239658E-02   2.2998296014572637E-04   9.4445872519118143E-04
         1         83   6.4995890502349469E-06   3.7168030446028746E-02   1.0912109669486192E-02   5.4336962027971523E-03
         1         84   0.0000000000000000E+00   4.1152903270773485E-03   5.9968882719729383E-05   1.4102219112042507E-04
         1         85   0.0000000000000000E+00   7.2711062863746768E-03   2.6454323102463796E-04   6.9648650089710912E-04
         1         86   0.0000000000000000E+00   9.4866377543645162E-03   8.6520392671375621E-06   1.7397436296871446E-04
         1         87   0.0000000000000000E+00   5.6893810774072399E-02   4.6918324513790869E-04   1.9912403694935621E-03
         1         88   0.0000000000000000E+00   2.9799329926387770E-03   1.6175029742015919E-06   2.3654636770770967E-05
         1         89   0.0000000000000000E+00   7.1656903433055231E-04   2.0565862729907165E-06   1.6629402377519335E-05
         1         90   1.9940234468793211E-08   2.7928036074833459E-02   7.1218710809755727E-03   4.3895886075517665E-03
         1         91   0.0000000000000000E+00   4.5405742473353765E-03   5.3617788116106900E-05   1.4338187665808371E-04
         1         92   0.0000000000000000E+00   1.3049708551569672E-02   6.3326260726933507E-04   1.6461392367671278E-03
         1         93   0.0000000000000000E+00   1.9722283629013080E-04   5.3435587666875353E-07   3.4706554462098406E-06
         1         94   0.0000000000000000E+00   6.0662730352092074E-04   3.3669970529511223E-06   1.7763231081748869E-05
         1         95   0.0000000000000000E+00   2.3472643319640704E-04   3.9347843866890181E-07   3.4347325284156901E-06
         1         96   1.7675078754036017E-05   9.7329103024175162E-02   3.0260784168818323E-02   9.8307545183120102E-03
         1         97   0.0000000000000000E+00   9.0136850766022986E-02   8.2269194546236363E-04   2.5799634442083192E-03
         1         98   2.6027014808566638E-02   2.3287886353915258E-01   1.0128163045304306E-01   2.2264075627167000E-02
         1         99   0.0000000000000000E+00   1.1322252539696541E-02   5.6730413878214466E-04   8.7710905502612281E-04
         1        100   0.0000000000000000E+00   1.4489081173105694E-02   1.3821499926489113E-03   2.1128156227011984E-03
         1        101   0.0000000000000000E+00   1.6908151648660508E-01   3.9318807714959674E-03   1.1142949277251870E-02
         1        102   0.0000000000000000E+00   2.9359371001214381E-02   4.6621102297132619E-04   1.2686113114488567E-03
         1        103   0.0000000000000000E+00   1.0685173739788461E-03   6.5982487261041848E-06   4.3423768261912957E-05
         1        104   0.0000000000000000E+00   2.0848183885408024E-03   1.2312299246692664E-05   8.4253564237518654E-05
         1        105   8.6109509190311045E-06   3.5636377598278549E-02   5.1806739490401323E-03   1.8733707670935940E-03
         1        106   0.0000000000000000E+00   1.5854716139326361E-02   1.0958163344949139E-03   1.8888080434418843E-03
         1        107   0.0000000000000000E+00   2.7696148272872241E-03   2.4988397158723222E-04   3.4618865897711575E-04
         1        108   0.0000000000000000E+00   5.1110488876808925E-04   3.6052552287956920E-06   2.2304682084757262E-05
         1        109   0.0000000000000000E+00   2.7488232483885524E-03   3.2782694171872848E-05   1.2054474397960656E-04
         1        110   0.0000000000000000E+00   1.9143401077886335E-04   7.5414639591384125E-07   6.0937678304177020E-06
         2          1   8.5564988734705819E-21   1.0363937784521336E-01   1.3224464198952749E-04   1.7958044301534257E-03
         2          2   1.3614990653129544E-01   1.3670376941759829E-01   1.3642652408628309E-01   1.0218738362030366E-04
         2          3   0.0000000000000000E+00   3.9255097612000715E-03   3.0432102107985919E-06   4.9824731259193460E-05
         2          4   0.0000000000000000E+00   1.3593846362333156E-04   5.0473618771646925E-08   1.1557323109683286E-06
         2          5   0.0000000000000000E+00   7.0843537256441117E-05   5.5646675472768416E-08   8.8992881422753419E-07
         2          6   3.1682544605093410E-17   2.7798766171260814E-01   1.4633906358134054E-03   9.2767187178401066E-03
         2          7   5.9734969044121833E-01   5.9874062617347434E-01   5.9804164280074801E-01   2.5006571152167713E-04
         2          8   0.0000000000000000E+00   3.9747726840852565E-02   1.0027245767358952E-04   6.7303960635647605E-04
         2          9   0.0000000000000000E+00   3.4429390107312001E-03   2.4624908453693761E-06   3.8245742713238876E-05
         2         10   0.0000000000000000E+00   2.0909793787141388E-03   2.9090225483800532E-06   3.4351466227406146E-05
         2         11   4.3292458164519627E-14   5.3526069521013908E-01   1.0824029058960157E-02   2.6912140182078416E-02
         2         12   1.2070698630788796E+00   1.2083137295040616E+00   1.2076848308827293E+00   2.5227421476259587E-04
         2         13   0.0000000000000000E+00   1.5226088644909155E-01   1.6929022535065333E-03   4.8454189715012586E-03
         2         14   0.0000000000000000E+00   3.2079040580500755E-02   5.2208265641564401E-05   5.2594351574788371E-04
         2         15   0.0000000000000000E+00   2.2704099366322495E-02   6.3828473360812163E-05   5.3457287634198181E-04
         2         16   2.1841087920762124E-11   7.5618647817098306E-01   4.9178348959640308E-02   5.4279473948369406E-02
         2         17   1.5734693081990405E+00   1.5749755250124633E+00   1.5741203220448143E+00   2.7952369769742810E-04
         2         18   0.0000000000000000E+00   3.3587298389760606E-01   1.3712477189393427E-02   1.9683394273249465E-02
         2         19   0.0000000000000000E+00   1.0995627256013428E-01   4.9504160435254955E-04   3.2379650609631453E-03
         2         20   0.0000000000000000E+00   9.0691262989273186E-02   6.0709425538216287E-04   3.5426443696441254E-03
         2         21   4.0703472521271612E-09   8.1879539693102865E-01   1.3060982540816363E-01   7.9037982572689264E-02
         2         22   1.4564999755737515E+00   1.4571171526785383E+00   1.4568084701074304E+00   1.2590937937792442E-04
         2         23   0.0000000000000000E+00   5.4630673345649816E-01   5.2796878966168186E-02   4.0954602861805460E-02
         2         24   0.0000000000000000E+00   1.3865160371663091E-01   2.1679254135153238E-03   9.6605064357865207E-03
         2         25   0.0000000000000000E+00   1.3326996552536505E-01   2.6044068255085696E-03   1.0760665579613433E-02
         2         26   2.8037978590031819E-07   8.7163071116567137E-01   2.0572459693633624E-01   8.1361410958229671E-02
         2         27   9.5946412716526785E-01   9.6015625416887163E-01   9.5986079277988379E-01   1.2628036356654345E-04
         2         28   0.0000000000000000E+00   5.3120263112449972E-01   1.0114069303939116E-01   4.6156383465606896E-02
         2         29   0.0000000000000000E+00   1.1739539153286892E-01   4.6071593880489667E-03   1.4806707386371685E-02
         2         30   0.0000000000000000E+00   1.4249031192199124E-01   5.3354077527764136E-03   1.6211019528365424E-02
         2         31   7.1436599975784222E-06   6.7461979632641123E-01   2.0025502037938522E-01   6.0071009303753919E-02
         2         32   6.0943791277323400E-01   6.0985016516278823E-01   6.0964715168360717E-01   7.5468382258662688E-05
         2         33   0.0000000000000000E+00   3.7185154662832925E-01   1.0531655452411132E-01   3.4653326873726457E-02
         2         34   0.0000000000000000E+00   9.4576068538867464E-02   5.1539858967861391E-03   1.2689952032551674E-02
         2         35   0.0000000000000000E+00   9.4238458065789427E-02   5.6942603371179911E-03   1.3474156464913191E-02
         2         36   6.7374301673430969E-05   3.4336866302874519E-01   1.2590764262011414E-01   3.3020898833742339E-02
         2         37   3.2874805380094435E-01   3.2896083411575300E-01   3.2886930407046788E-01   3.2710633029065294E-05
         2         38   0.0000000000000000E+00   2.0550984221752278E-01   6.6019528378572861E-02   1.9295347427366171E-02
         2         39   0.0000000000000000E+00   5.1892901706454643E-02   3.3726906832103306E-03   7.0552686382586082E-03
         2         40   0.0000000000000000E+00   4.5749109952915472E-02   3.5333596885493714E-03   7.2522137279728465E-03
         2         41   2.3542211913762663E-04   1.3309290327822390E-01   5.1761778113523060E-02   1.3115522392615818E-02
         2         42   1.2348454445928132E-01   1.2355199323945515E-01   1.2352116096626987E-01   1.4753944692491677E-05
         2         43   0.0000000000000000E+00   7.2478231055626022E-02   2.6402302630266404E-02   7.8040550006421745E-03
         2         44   0.0000000000000000E+00   2.2431170839828825E-02   1.3903698878593687E-03   2.7539589423710826E-03
         2         45   0.0000000000000000E+00   2.2441271329086378E-02   1.3805982513800023E-03   2.7547159777563984E-03
         2         46   3.0506877310994729E-04   3.4825202284001718E-02   1.3280575039576501E-02   3.4925932485444394E-03
         2         47   2.8015404401633352E-02   2.8028215758289687E-02   2.8021261364220933E-02   2.2692938000472932E-06
         2         48   0.0000000000000000E+00   1.7329229971651882E-02   6.5821512012381178E-03   2.1007284929292175E-03
         2         49   0.0000000000000000E+00   5.5930245958480335E-03   3.5509785654091780E-04   7.0475545039398561E-04
         2         50   0.0000000000000000E+00   5.6835555445619640E-03   3.3726210155541502E-04   6.9125301516718876E-04
         2         51   0.0000000000000000E+00   1.6701562371561157E-02   2.4323271825519343E-04   6.3642599581091434E-04
         2         52   6.0437760336646500E-08   1.0323358745315749E-01   6.5732046641232209E-03   6.0621726607750313E-03
         2         53   0.0000000000000000E+00   1.4061994752454910E-02   2.2176606891649545E-04   5.7229886296552765E-04
         2         54   0.0000000000000000E+00   1.7856459712161431E-03   7.2399311715971900E-06   2.6461615851643292E-05
         2         55   0.0000000000000000E+00   7.1367697229033841E-04   1.0037371409361342E-05   3.5307906170715693E-05
         2         56   9.7801330004337647E-02   9.8074565226463448E-02   9.7933774033083398E-02   5.0377372037884958E-05
         2         57   0.0000000000000000E+00   3.6457097421742198E-02   2.3000365547278128E-03   2.0217730229942985E-03
         2         58   0.0000000000000000E+00   1.0007307306472469E-02   9.3547379390614266E-05   3.9935461678427902E-04
         2         59   0.0000000000000000E+00   8.2909515755720566E-03   1.1147744766846751E-04   4.4060885895006401E-04
         2         60   0.0000000000000000E+00   2.7800944187096367E-03   3.9089402642347189E-05   1.1275173631056384E-04
         2         61   0.0000000000000000E+00   7.8571487727410359E-04   4.7376465059966027E-06   1.7398812618730520E-05
         2         62   0.0000000000000000E+00   1.7236875776516927E-04   3.0803205263379142E-06   9.7218038963192251E-06
         2         63   0.0000000000000000E+00   1.7841308488426343E-05   1.0326952576989664E-08   1.9810251740726051E-07
         2         64   0.0000000000000000E+00   2.7744446623578659E-04   7.1508414390712910E-07   5.5951218173910097E-06
         2         65   0.0000000000000000E+00   1.8908686390215735E-05   1.1646213214876518E-08   2.6595965663038543E-07
         2         66   0.0000000000000000E+00   5.9267390901614682E-02   2.1979333004210236E-03   2.5274409856169914E-03
         2         67   4.0522536329226845E-07   2.2108703776381533E-01   1.1871164217288887E-02   1.1441573168307330E-02
         2         68   0.0000000000000000E+00   9.7481778230258734E-02   4.3082191843946223E-03   4.5169920888979680E-03
         2         69   0.0000000000000000E+00   6.7210275081642373E-03   4.2375954088256432E-05   1.4269685374872622E-04
         2         70   0.0000000000000000E+00   4.9107763720386529E-03   7.9430825175010871E-05   2.6096136772228620E-04
         2         71   2.4272277733274211E-01   2.4311884039499182E-01   2.4292396607183556E-01   9.0917693502444690E-05
         2         72   0.0000000000000000E+00   6.0170422911527868E-02   3.9402367968869182E-03   3.3318257657791246E-03
         2         73   0.0000000000000000E+00   1.0758543316586404E-02   1.5795967439277215E-04   5.5623278174153439E-04
         2         74   0.0000000000000000E+00   8.8697383310902597E-03   1.8879919121736466E-04   6.2164966918015090E-04
         2         75   0.0000000000000000E+00   1.5624237665653400E-02   2.2522278934872041E-04   5.9599582633967560E-04
         2         76   0.0000000000000000E+00   5.0546009519124094E-03   4.2611406879609780E-05   1.4482157805251463E-04
         2         77   0.0000000000000000E+00   7.9148933103615653E-04   1.5367586700944809E-05   4.5324734723492639E-05
         2         78   0.0000000000000000E+00   5.5769961579502568E-05   5.1749975630868450E-08   8.9033055053509267E-07
         2         79   0.0000000000000000E+00   1.6297739627109758E-03   4.9806233537815147E-06   3.5314572235948331E-05
         2         80   0.0000000000000000E+00   3.3947784114497160E-05   2.5279354387922119E-08   5.1617153126349754E-07
         2         81   0.0000000000000000E+00   1.6564374666544037E-03   4.0274170968682392E-06   5.3636233260563879E-05
         2         82   4.1804785524439587E-10   2.0658209943845332E-02   7.5914577620893179E-04   1.0014064824537133E-03
         2         83   0.0000000000000000E+00   4.8970260816426142E-04   1.7776143020160671E-06   1.5793902647311821E-05
         2         84   0.0000000000000000E+00   3.5236218795369707E-05   4.2737840303305588E-08   2.6232214301404500E-07
         2         85   0.0000000000000000E+00   2.0227355183475555E-05   5.0803248000917609E-08   2.4170807567356258E-07
         2         86   3.0379954543784005E-02   3.0487145402923341E-02   3.0432645664457462E-02   1.9433276648661436E-05
         2         87   0.0000000000000000E+00   4.7824465901081768E-03   2.4085204368549790E-04   2.5161182389118997E-04
         2         88   0.0000000000000000E+00   1.2707490891419567E-03   9.5812047639220304E-06   4.7038352654692469E-05
         2         89   0.0000000000000000E+00   1.0469965158816344E-03   1.1463574049566595E-05   5.1691335076238989E-05
         2         90   0.0000000000000000E+00   3.9900991366766349E-05   2.5613033425805949E-07   1.3787236720828198E-06
         2         91   0.0000000000000000E+00   4.7193975175503955E-06   1.1213204492732111E-08   5.3480750517024835E-08
         2         92   0.0000000000000000E+00   6.1288443690141615E-06   2.0763330558021538E-08   8.8895200806327509E-08
         2         93   0.0000000000000000E+00   3.5248274067249782E-07   1.4963156151272916E-10   3.8013741768792610E-09
         2         94   0.0000000000000000E+00   8.7844148410252260E-07   2.3830549248684467E-09   1.9717441740099017E-08
         2         95   0.0000000000000000E+00   8.8190255648853942E-07   4.1044289034095752E-10   1.1255755930486003E-08
         2         96   0.0000000000000000E+00   3.3884983118834811E-02   1.6815602074318531E-03   1.6608526082082591E-03
         2         97   2.7573854589341808E-07   1.1881331916568393E-01   4.2880135349820190E-03   5.3593104622014776E-03
         2         98   0.0000000000000000E+00   7.1373257608470742E-02   3.8044297401459140E-03   3.5494497371252784E-03
         2         99   0.0000000000000000E+00   3.5829264264139295E-03   2.6919074181164728E-05   8.9758087203963916E-05
         2        100   0.0000000000000000E+00   3.3125491974701458E-03   5.6808860414776911E-05   1.8348966263814277E-04
         2        101   1.5775510862564276E-01   1.5800222898880917E-01   1.5787276495428348E-01   5.6478818741310755E-05
         2        102   0.0000000000000000E+00   2.4429415792129670E-02   1.2834230767512214E-03   1.1915984714353978E-03
         2        103   0.0000000000000000E+00   2.7671457495974808E-03   5.0147566517319560E-05   1.5826309423359417E-04
         2        104   0.0000000000000000E+00   2.7131623929919722E-03   6.0196433591336024E-05   1.7869502280477788E-04
         2        105   0.0000000000000000E+00   9.9226422963589779E-03   1.4215969177143293E-04   3.6916168016368754E-04
         2        106   0.0000000000000000E+00   3.8048988860192074E-03   3.1332359878824533E-05   1.0468806257148761E-04
         2        107   0.0000000000000000E+00   4.6433933658635929E-04   9.0108706869818181E-06   2.5894066226091122E-05
         2        108   0.0000000000000000E+00   2.4477423533241372E-05   3.1712661816032807E-08   5.5979985695610245E-07
         2        109   0.0000000000000000E+00   1.0263206817044798E-03   3.3615729127014912E-06   2.3000139929553011E-05
         2        110   0.0000000000000000E+00   9.2047641553427189E-06   8.3488708688940925E-09   1.5414268178209007E-07
         3          1   8.1909099674249530E-02   4.4214569002629223E-01   3.0868934826138983E-01   1.4631884639516044E-02
         3          2   0.0000000000000000E+00   7.8623222369358873E-03   3.8402826233268527E-06   8.2016679552230292E-05
         3          3   1.2725170414143220E-10   7.2504326750466273E-03   1.4966408805021668E-04   1.9391926261227459E-04
         3          4   0.0000000000000000E+00   8.7739671300352002E-03   9.5749021222012260E-05   2.7238975037883079E-04
         3          5   0.0000000000000000E+00   1.6352915604665817E-04   1.1665636105404806E-06   3.9476043973289070E-06
         3          6   3.5024598547816344E-01   9.8275456743177214E-01   7.1283576698344053E-01   4.8272457718281640E-02
         3          7   0.0000000000000000E+00   8.9286861815672941E-02   1.2653564825583074E-04   1.2015868108535249E-03
         3          8   3.9479163065490901E-08   9.7263970319946089E-02   4.4428234410126962E-03   3.4040971191816862E-03
         3          9   0.0000000000000000E+00   6.8066124416307258E-02   1.7299427507084788E-03   4.1965528302296299E-03
         3         10   0.0000000000000000E+00   3.9612933912201807E-03   5.6755452359639433E-05   1.5489261477327792E-04
         3         11   4.5846088623236947E-01   1.3071138367516650E+00   7.7962270792930299E-01   1.2543876372390239E-01
         3         12   0.0000000000000000E+00   4.2456568667724265E-01   2.1363043157725126E-03   9.5518580506835527E-03
         3         13   4.5572954057624200E-06   4.8554627059186656E-01   5.2503891741515145E-02   2.5969012997695964E-02
         3         14   0.0000000000000000E+00   2.1102345922550242E-01   1.2255026803818047E-02   2.6195641106781218E-02
         3         15   0.0000000000000000E+00   3.5300747970230389E-02   1.0803648442633633E-03   2.4447636131838218E-03
         3         16   1.3380254365904454E-01   1.7918027288204967E+00   7.1859184294248446E-01   1.8230861473207682E-01
         3         17   0.0000000000000000E+00   9.6480783007512372E-01   1.7304025757515634E-02   4.8402377356181615E-02
         3         18   1.9678442610446281E-04   9.8488630258004128E-01   2.5340357446649675E-01   8.4778554995717528E-02
         3         19   0.0000000000000000E+00   4.3321622680760474E-01   3.4741115295665960E-02   6.7074483746851377E-02
         3         20   0.0000000000000000E+00   1.4979492809590733E-01   8.1600952812770546E-03   1.5639879257201787E-02
         3         21   1.7019038364985351E-02   1.8830397957278442E+00   9.1306037598007850E-01   2.2883163993388625E-01
         3         22   0.0000000000000000E+00   1.2343158233695157E+00   6.6625347187718661E-02   1.4962673180104061E-01
         3         23   3.2048798728071207E-03   1.1715194208304578E+00   5.3195660103996423E-01   1.2893895471587585E-01
         3         24   0.0000000000000000E+00   5.0560730702105150E-01   4.1835863248868593E-02   7.3572493895246213E-02
         3         25   0.0000000000000000E+00   3.0478451912627902E-01   2.5180413304507640E-02   4.1445612713870858E-02
         3         26   1.3879149265108951E-02   1.8105964557040188E+00   1.0286068483715232E+00   2.2748675784043687E-01
         3         27   0.0000000000000000E+00   1.0260211876548626E+00   1.2763129034339163E-01   2.6046856066943491E-01
         3         28   1.9334955673621302E-02   1.0540425375852380E+00   5.5931357665344672E-01   1.2745492839888431E-01
         3         29   0.0000000000000000E+00   2.9860596164604508E-01   2.6808454636224908E-02   4.0944253156063183E-02
         3         30   0.0000000000000000E+00   3.3133203672997319E-01   3.3969457834716041E-02   4.8352258203934871E-02
         3         31   4.1243612087363608E-02   1.2469249479206197E+00   7.6179743757353535E-01   1.6650016302648218E-01
         3         32   0.0000000000000000E+00   9.9977083957942103E-01   1.3290088632472946E-01   2.5742604629490251E-01
         3         33   1.4497616874434875E-02   7.1042940643208552E-01   3.7465824623830873E-01   9.0014595443146314E-02
         3         34   0.0000000000000000E+00   1.8185357610603112E-01   1.5826649609206812E-02   2.2018354347562611E-02
         3         35   0.0000000000000000E+00   1.8752819334852064E-01   2.3524136672913729E-02   2.9591006140931263E-02
